District,LB_Type,LB_Code,LB_Name,Ward_No,Ward_Name,Candidate_Code,Candidate_Name,Party,Votes,Status
Thiruvananthapuram,Grama Panchayat,G01043,Anadu,001,THEERTHAMKARA,3,ഷീലാകുമാരി,CPI,158,Lost
Thiruvananthapuram,Grama Panchayat,G01043,Anadu,001,THEERTHAMKARA,2,മഞ്ജു സുരേഷ്,BJP,146,Lost
Thiruvananthapuram,Grama Panchayat,G01043,Anadu,001,THEERTHAMKARA,1,നൂര്‍ജഹാൻ M,INC,94,Lost
Thiruvananthapuram,Grama Panchayat,G01043,Anadu,002,CHELA,3,മൂഴി എസ്. സുനിൽ,INC,229,Lost
Thiruvananthapuram,Grama Panchayat,G01043,Anadu,002,CHELA,1,B. കിരൺ,CPI(M),227,Lost
Thiruvananthapuram,Grama Panchayat,G01043,Anadu,002,CHELA,2,ഷിബു വി,BJP,73,Lost
Thiruvananthapuram,Grama Panchayat,G01043,Anadu,003,KALLIYODE,1,പ്രീജകുമാരി,CPI(M),260,Lost
Thiruvananthapuram,Grama Panchayat,G01043,Anadu,003,KALLIYODE,3,ഷിജി ജയൻ,BJP,219,Lost
Thiruvananthapuram,Grama Panchayat,G01043,Anadu,003,KALLIYODE,2,ഷമീന ബീവി. ഐ (ഷെമി),INC,173,Lost
Thiruvananthapuram,Grama Panchayat,G01043,Anadu,004,ERYANADE,1,M. ഗിരീഷ് കുമാർ,CPI(M),167,Lost
Thiruvananthapuram,Grama Panchayat,G01043,Anadu,004,ERYANADE,2,ഷിബു കെ,BJP,165,Lost
Thiruvananthapuram,Grama Panchayat,G01043,Anadu,004,ERYANADE,3,സുനിതകുമാരി,INC,84,Lost
Thiruvananthapuram,Grama Panchayat,G01043,Anadu,004,ERYANADE,4,ആർ. സുരേഷ്​​കുമാർ,IND,22,Lost
Thiruvananthapuram,Grama Panchayat,G01043,Anadu,005,CHANDRAMANGALAM,1,അശോകൻ ശക്തിപുരം,CPI(M),231,Lost
Thiruvananthapuram,Grama Panchayat,G01043,Anadu,005,CHANDRAMANGALAM,4,ഷിബുബാലൻ,INC,154,Lost
Thiruvananthapuram,Grama Panchayat,G01043,Anadu,005,CHANDRAMANGALAM,3,പി. വി. പ്രമോദ് പീപ്പിൾസ് ആനാട്,IND,109,Lost
Thiruvananthapuram,Grama Panchayat,G01043,Anadu,005,CHANDRAMANGALAM,2,യു. പ്രകാശ് (പ്രണവം പ്രകാശ്),BJP,86,Lost
Thiruvananthapuram,Grama Panchayat,G01061,Anchuthengu,001,KAIKKARA  ASAN SMARAKAM,3,ജയാ ശ്രീരാമൻ,CPI(M),228,Won
Thiruvananthapuram,Grama Panchayat,G01061,Anchuthengu,001,KAIKKARA  ASAN SMARAKAM,2,ചിന്നു,INC,172,Won
Thiruvananthapuram,Grama Panchayat,G01061,Anchuthengu,001,KAIKKARA  ASAN SMARAKAM,1,അര്‍ച്ചന എം,BJP,109,Won
Thiruvananthapuram,Grama Panchayat,G01061,Anchuthengu,002,NEDUNGANDA,1,വിജയ് വിമൽ,CPI(M),373,Won
Thiruvananthapuram,Grama Panchayat,G01061,Anchuthengu,002,NEDUNGANDA,3,സലീവ് എസ്,BJP,147,Won
Thiruvananthapuram,Grama Panchayat,G01061,Anchuthengu,002,NEDUNGANDA,2,ഷൈജു ശിവൻ,INC,83,Won
Thiruvananthapuram,Grama Panchayat,G01061,Anchuthengu,003,KAIKKARA,2,പി വിമല്‍രാജ്,CPI(M),212,Lost
Thiruvananthapuram,Grama Panchayat,G01061,Anchuthengu,003,KAIKKARA,3,സനി,INC,182,Lost
Thiruvananthapuram,Grama Panchayat,G01061,Anchuthengu,003,KAIKKARA,1,ബി അനിൽകുമാർ,BJP,80,Lost
Thiruvananthapuram,Grama Panchayat,G01061,Anchuthengu,004,KAPALEESWARAM,1,അതുല്യ മഹേഷ്,CPI(M),284,Lost
Thiruvananthapuram,Grama Panchayat,G01061,Anchuthengu,004,KAPALEESWARAM,3,ഷബിത,INC,283,Lost
Thiruvananthapuram,Grama Panchayat,G01061,Anchuthengu,004,KAPALEESWARAM,2,ഇന്ദുദാസ്,BJP,22,Lost
Thiruvananthapuram,Grama Panchayat,G01061,Anchuthengu,005,ERANGUKADAVU,2,ഷിന്‍സി ഐ,INC,302,Lost
Thiruvananthapuram,Grama Panchayat,G01061,Anchuthengu,005,ERANGUKADAVU,3,ഷെർളി ജോബ്,CPI(M),228,Lost
Thiruvananthapuram,Grama Panchayat,G01061,Anchuthengu,005,ERANGUKADAVU,1,ജെസി,BJP,47,Lost
Thiruvananthapuram,Grama Panchayat,G01061,Anchuthengu,006,MUDIPPURA,2,ലിജബോസ്,CPI(M),221,Lost
Thiruvananthapuram,Grama Panchayat,G01061,Anchuthengu,006,MUDIPPURA,1,മേരി ജിനി,INC,187,Lost
Thiruvananthapuram,Grama Panchayat,G01027,ANDOORKONAM,001,MAITHANI,3,മുഹമ്മദ് മുനീർ കെ എച്ച് (അഡ്വ. കെ എച്ച് എം മുനീർ),CPI(M),3,Lost
Thiruvananthapuram,Grama Panchayat,G01027,ANDOORKONAM,001,MAITHANI,2,ദീപു ബി,BJP,0,Lost
Thiruvananthapuram,Grama Panchayat,G01027,ANDOORKONAM,001,MAITHANI,1,അക്ബര്‍ വൈ,INC,0,Lost
Thiruvananthapuram,Grama Panchayat,G01027,ANDOORKONAM,001,MAITHANI,4,ഷാജു കരിച്ചാറ,IND,0,Lost
Thiruvananthapuram,Grama Panchayat,G01027,ANDOORKONAM,002,KARICHARA,1,അരുണ്‍ എ,INC,0,Lost
Thiruvananthapuram,Grama Panchayat,G01027,ANDOORKONAM,002,KARICHARA,4,സുജാത വിനു,BJP,0,Lost
Thiruvananthapuram,Grama Panchayat,G01027,ANDOORKONAM,002,KARICHARA,3,ബിബിൻ  സേവിയർ,IND,0,Lost
Thiruvananthapuram,Grama Panchayat,G01027,ANDOORKONAM,002,KARICHARA,5,സുജീവ് എസ്,CPI,0,Lost
Thiruvananthapuram,Grama Panchayat,G01027,ANDOORKONAM,002,KARICHARA,2,ബിപിന്‍ പള്ളിപ്പുറം,BSP,0,Lost
Thiruvananthapuram,Grama Panchayat,G01027,ANDOORKONAM,003,VELLOOR,1,അനിക്കുട്ടന്‍ കെ,INC,2,Lost
Thiruvananthapuram,Grama Panchayat,G01027,ANDOORKONAM,003,VELLOOR,3,വി ജയചന്ദ്രൻ,CPI(M),0,Lost
